time_records,open,high,low,close,prediction,ticket,order price,prediction_s,high_dif_l,low_dif_l,y_l,high_dif_s,low_dif_s,y_s,result_l,result_s
4/3/2023 18:00,1972.477,1978.742,1971.212,1978.657,1,269697628,1978.745,0,11.857,-6.289,0,11.857,-6.289,0,FALSE,none
4/3/2023 19:00,1978.625,1979.944,1975.708,1979.016,0,none,none,0,11.498,-6.648,0,11.498,-6.648,0,none,none
4/3/2023 20:00,1979.054,1980.807,1972.368,1976.019,0,none,none,0,14.495,0.099,1,14.495,0.099,0,none,none
4/3/2023 21:00,1976.118,1989.855,1976.118,1986.023,1,269865152,1986.182,0,4.491,-4.124,0,4.491,-4.124,0,FALSE,none
4/3/2023 22:00,1986.057,1990.514,1983.901,1987.981,0,none,none,0,2.496,-6.082,0,2.496,-6.082,1,none,none
4/3/2023 23:00,1987.98,1990.477,1986.845,1987.028,0,none,none,0,-0.002,-5.129,0,-0.002,-5.129,1,none,none
4/4/2023 0:00,1987.026,1987.026,1981.899,1985.069,0,none,none,0,1.006,-2.864,0,1.006,-2.864,0,none,none
4/4/2023 1:00,1985.058,1985.291,1982.205,1982.417,0,none,none,0,3.658,-0.146,0,3.658,-0.146,0,none,none
4/4/2023 2:00,1982.45,1986.075,1982.271,1985.111,0,none,none,0,0.836,-2.906,0,0.836,-2.906,0,none,none
4/4/2023 3:00,1985.077,1985.947,1983.608,1984.268,0,none,none,0,1.244,-6.395,0,1.244,-6.395,1,none,none
4/4/2023 5:00,1984.242,1985.5,1983.721,1983.978,0,none,none,0,1.534,-6.105,0,1.534,-6.105,1,none,none
4/4/2023 6:00,1983.967,1985.512,1983.596,1984.973,0,none,none,0,0.331,-7.159,0,0.331,-7.159,1,none,none
4/4/2023 7:00,1984.966,1985.304,1982.205,1982.911,0,none,none,0,0.682,-5.097,0,0.682,-5.097,1,none,none
4/4/2023 8:00,1982.942,1983.593,1977.873,1978.255,0,none,none,0,3.17,-0.441,0,3.17,-0.441,0,none,none
4/4/2023 9:00,1978.272,1981.425,1978.092,1980.846,0,none,none,0,1.527,-3.95,0,1.527,-3.95,0,none,none
