datetime,open,high,low,close,open_lag1,open_lag2,open_lag3,open_lag4,open_lag5,high_lag1,high_lag2,high_lag3,high_lag4,high_lag5,low_lag1,low_lag2,low_lag3,low_lag4,low_lag5,close_lag1,close_lag2,close_lag3,close_lag4,close_lag5,EMAF,STO_K
2021-07-13 15:00:00,1807.288,1809.435,1806.328,1808.378,1807.268,1811.438,1813.138,1812.718,1813.708,1809.498,1811.548,1813.848,1814.838,1814.268,1805.125,1807.008,1811.148,1810.578,1808.648,1807.388,1807.298,1811.438,1813.158,1812.688,1806.462037513545,36.270642690309565
2021-07-13 16:00:00,1808.298,1808.688,1806.858,1807.398,1807.288,1807.268,1811.438,1813.138,1812.718,1809.435,1809.498,1811.548,1813.848,1814.838,1806.328,1805.125,1807.008,1811.148,1810.578,1808.378,1807.388,1807.298,1811.438,1813.158,1806.4932362630934,27.61580608525561
2021-07-13 18:00:00,1807.117,1808.108,1807.117,1807.528,1808.298,1807.288,1807.268,1811.438,1813.138,1808.688,1809.435,1809.498,1811.548,1813.848,1806.858,1806.328,1805.125,1807.008,1811.148,1807.398,1808.378,1807.388,1807.298,1811.438,1806.527728387657,32.320390157870655
2021-07-13 19:00:00,1807.498,1807.498,1805.478,1805.948,1807.117,1808.298,1807.288,1807.268,1811.438,1808.108,1808.688,1809.435,1809.498,1811.548,1807.117,1806.858,1806.328,1805.125,1807.008,1807.528,1807.398,1808.378,1807.388,1807.298,1806.5084041080684,27.430001707964234
2021-07-13 20:00:00,1805.948,1807.688,1804.448,1807.208,1807.498,1807.117,1808.298,1807.288,1807.268,1807.498,1808.108,1808.688,1809.435,1809.498,1805.478,1807.117,1806.858,1806.328,1805.125,1805.948,1807.528,1807.398,1808.378,1807.388,1806.5317239711328,37.192116746750216
2021-07-13 21:00:00,1807.227,1810.258,1806.708,1808.878,1805.948,1807.498,1807.117,1808.298,1807.288,1807.688,1807.498,1808.108,1808.688,1809.435,1804.448,1805.478,1807.117,1806.858,1806.328,1807.208,1805.948,1807.528,1807.398,1808.378,1806.609933172095,50.13725822545533
2021-07-13 22:00:00,1808.888,1812.348,1808.548,1811.628,1807.227,1805.948,1807.498,1807.117,1808.298,1810.258,1807.688,1807.498,1808.108,1808.688,1806.708,1804.448,1805.478,1807.117,1806.858,1808.878,1807.208,1805.948,1807.528,1807.398,1806.7772020663585,74.15927287036513
2021-07-13 23:00:00,1811.648,1813.415,1811.648,1812.498,1808.888,1807.227,1805.948,1807.498,1807.117,1812.348,1810.258,1807.688,1807.498,1808.108,1808.548,1806.708,1804.448,1805.478,1807.117,1811.628,1808.878,1807.208,1805.948,1807.528,1806.9678953308132,85.63584628338292
2021-07-14 00:00:00,1812.488,1813.775,1811.228,1811.618,1811.648,1808.888,1807.227,1805.948,1807.498,1813.415,1812.348,1810.258,1807.688,1807.498,1811.648,1808.548,1806.708,1804.448,1805.478,1812.498,1811.628,1808.878,1807.208,1805.948,1807.122898819786,85.84442770275166
2021-07-14 01:00:00,1811.648,1813.718,1811.498,1812.818,1812.488,1811.648,1808.888,1807.227,1805.948,1813.775,1813.415,1812.348,1810.258,1807.688,1811.228,1811.648,1808.548,1806.708,1804.448,1811.618,1812.498,1811.628,1808.878,1807.208,1807.3127355257932,84.36846436450422
2021-07-14 02:00:00,1812.775,1814.918,1811.838,1812.178,1811.648,1812.488,1811.648,1808.888,1807.227,1813.718,1813.775,1813.415,1812.348,1810.258,1811.498,1811.228,1811.648,1808.548,1806.708,1812.818,1811.618,1812.498,1811.628,1808.878,1807.4749110082666,73.43921666710727
2021-07-14 03:00:00,1812.178,1813.848,1809.688,1812.495,1812.775,1811.648,1812.488,1811.648,1808.888,1814.918,1813.718,1813.775,1813.415,1812.348,1811.838,1811.498,1811.228,1811.648,1808.548,1812.178,1812.818,1811.618,1812.498,1811.628,1807.642247307991,65.70506177109506
2021-07-14 04:00:00,1812.528,1815.278,1811.398,1813.918,1812.178,1812.775,1811.648,1812.488,1811.648,1813.848,1814.918,1813.718,1813.775,1813.415,1809.688,1811.838,1811.498,1811.228,1811.648,1812.495,1812.178,1812.818,1811.618,1812.498,1807.8514390643913,62.10928005525938
2021-07-14 05:00:00,1813.918,1814.908,1812.598,1813.835,1812.528,1812.178,1812.775,1811.648,1812.488,1815.278,1813.848,1814.918,1813.718,1813.775,1811.398,1809.688,1811.838,1811.498,1811.228,1813.918,1812.495,1812.178,1812.818,1811.618,1808.0508910955784,67.84267180193923
2021-07-14 06:00:00,1813.845,1817.498,1813.128,1815.105,1813.918,1812.528,1812.178,1812.775,1811.648,1814.908,1815.278,1813.848,1814.918,1813.718,1812.598,1811.398,1809.688,1811.838,1811.498,1813.835,1813.918,1812.495,1812.178,1812.818,1808.2860280590592,73.07222747772916
2021-07-14 07:00:00,1815.075,1817.668,1814.618,1816.728,1813.845,1813.918,1812.528,1812.178,1812.775,1817.498,1814.908,1815.278,1813.848,1814.918,1813.128,1812.598,1811.398,1809.688,1811.838,1815.105,1813.835,1813.918,1812.495,1812.178,1808.5674271237574,77.25546434150607
2021-07-14 08:00:00,1816.798,1829.588,1816.348,1828.468,1815.075,1813.845,1813.918,1812.528,1812.178,1817.668,1817.498,1814.908,1815.278,1813.848,1814.618,1813.128,1812.598,1811.398,1809.688,1816.728,1815.105,1813.835,1813.918,1812.495,1809.2307795529655,83.80770575535071
2021-07-14 09:00:00,1828.478,1829.678,1820.426,1823.178,1816.798,1815.075,1813.845,1813.918,1812.528,1829.588,1817.668,1817.498,1814.908,1815.278,1816.348,1814.618,1813.128,1812.598,1811.398,1828.468,1816.728,1815.105,1813.835,1813.918,1809.6956869012,81.335705347539
2021-07-14 10:00:00,1823.078,1825.558,1819.308,1820.428,1828.478,1816.798,1815.075,1813.845,1813.918,1829.678,1829.588,1817.668,1817.498,1814.908,1820.426,1816.348,1814.618,1813.128,1812.598,1823.178,1828.468,1816.728,1815.105,1813.835,1810.05343067116,66.63177533115828
2021-07-14 11:00:00,1820.448,1824.138,1819.718,1822.478,1823.078,1828.478,1816.798,1815.075,1813.845,1825.558,1829.678,1829.588,1817.668,1817.498,1819.308,1820.426,1816.348,1814.618,1813.128,1820.428,1823.178,1828.468,1816.728,1815.105,1810.4675829821213,52.747930100024774
2021-07-14 12:00:00,1822.498,1823.145,1819.978,1821.736,1820.448,1823.078,1828.478,1816.798,1815.075,1824.138,1825.558,1829.678,1829.588,1817.668,1819.718,1819.308,1820.426,1816.348,1814.618,1822.478,1820.428,1823.178,1828.468,1816.728,1810.8431968827172,45.57336713844139
2021-07-14 13:00:00,1821.678,1825.348,1821.648,1823.688,1822.498,1820.448,1823.078,1828.478,1816.798,1823.145,1824.138,1825.558,1829.678,1829.588,1819.978,1819.718,1819.308,1820.426,1816.348,1821.736,1822.478,1820.428,1823.178,1828.468,1811.2713569866266,44.94952094799154
2021-07-14 14:00:00,1823.688,1825.908,1823.438,1824.978,1821.678,1822.498,1820.448,1823.078,1828.478,1825.348,1823.145,1824.138,1825.558,1829.678,1821.648,1819.978,1819.718,1819.308,1820.426,1823.688,1821.736,1822.478,1820.428,1823.178,1811.7282450870723,56.188806231102205
2021-07-14 15:00:00,1825.078,1827.288,1824.958,1827.228,1823.688,1821.678,1822.498,1820.448,1823.078,1825.908,1825.348,1823.145,1824.138,1825.558,1823.438,1821.648,1819.978,1819.718,1819.308,1824.978,1823.688,1821.736,1822.478,1820.428,1812.2449035841698,75.78457042974766
2021-07-14 16:00:00,1827.368,1828.148,1826.848,1826.868,1825.078,1823.688,1821.678,1822.498,1820.448,1827.288,1825.908,1825.348,1823.145,1824.138,1824.958,1823.438,1821.648,1819.978,1819.718,1827.228,1824.978,1823.688,1821.736,1822.478,1812.7323401313643,89.81647128929471
